Date,Max TemperatureC,Min TemperatureC,Description,WindDir,WindForce
2017-4-9,29,24,多云,南风,3级
2017-4-10,29,19,多云,东南风,2级
2017-4-11,24,17,雷阵雨,北风,4级
2017-4-12,20,17,中雨,北风,2级
2017-4-13,22,17,阴,东南风,2级
2017-4-14,24,18,阴,西南风,2级
2017-4-15,26,22,阴,东南风,2级
2017-4-16,29,22,多云,东南风,2级
2017-4-17,30,23,多云,西风,3级
2017-4-18,32,23,阴,西南风,1级
2017-4-19,30,23,阵雨,东风,2级
2017-4-20,29,20,中雨,东风,3级
2017-4-21,28,17,中到大雨,北风,4级
2017-4-22,22,17,阵雨,北风,3级
2017-4-23,24,18,阴,东南风,2级
2017-4-24,24,20,阵雨,东北风,2级
2017-4-25,24,21,小雨,东风,2级
2017-4-26,24,20,中雨,东北风,1级
2017-4-27,23,17,阴,北风,3级
2017-4-28,25,16,晴,东北风,2级
2017-4-29,28,18,多云,南风,2级
2017-4-30,29,21,多云,东南风,3级
2017-5-1,30,23,多云,东南风,3级
2017-5-2,29,24,多云,东南风,3级
2017-5-3,30,24,多云,东南风,4级
2017-5-4,27,21,大雨,南风,1级
2017-5-5,29,23,多云,东北风,1级
2017-5-6,31,23,多云,东风,2级
2017-5-7,29,24,暴雨,东南风,2级
2017-5-8,29,22,大雨,西南风,2级
2017-5-9,29,23,阴,东南风,1级
2017-5-10,31,24,多云,东南风,2级
2017-5-11,31,24,多云,东南风,3级
2017-5-12,29,23,雷阵雨,西南风,2级
2017-5-13,28,23,阵雨,东南风,2级
2017-5-14,29,23,多云,南风,3级
2017-5-15,27,23,暴雨,东风,3级
2017-5-16,27,23,多云,东北风,2级
2017-5-17,30,22,多云,东北风,1级
2017-5-18,30,24,阵雨,东风,2级
2017-5-19,29,23,阵雨,东风,3级
2017-5-20,27,21,阵雨,东风,1级
2017-5-21,27,23,阵雨,东风,2级
2017-5-22,28,24,中到大雨,北风,2级
2017-5-23,29,23,阵雨,东南风,2级
2017-5-24,26,22,大到暴雨,北风,2级
2017-5-25,29,22,多云,北风,3级
2017-5-26,30,23,多云,东北风,2级
2017-5-27,31,22,多云,东北风,2级
2017-5-28,32,22,晴,东风,1级
2017-5-29,33,24,多云,东南风,2级
2017-5-30,32,24,多云,东南风,2级
2017-5-31,32,25,多云,东南风,2级
2017-6-1,33,26,雷阵雨,东南风,4级
2017-6-2,33,25,中雨,东北风,2级
2017-6-3,33,26,中雨,东风,3级
2017-6-4,33,26,阵雨,东南风,3级
2017-6-5,34,27,雷阵雨,东风,4级
2017-6-6,34,27,雷阵雨,东南风,4级
2017-6-7,35,27,多云,东北风,1级
2017-6-8,35,27,多云,南风,3级
2017-6-9,35,27,雷阵雨,东南风,1级
2017-6-10,34,27,雷阵雨,东南风,2级
2017-6-11,35,28,晴,东南风,4级
2017-6-12,35,26,雷阵雨,北风,2级
2017-6-13,32,26,中雨,东风,3级
2017-6-14,31,26,大到暴雨,东风,1级
2017-6-15,32,25,中雨,东南风,3级
2017-6-16,31,24,大到暴雨,北风,5级
2017-6-17,30,25,中雨,北风,微风
2017-6-18,28,24,中到大雨,北风,2级
2017-6-19,28,25,大雨,西南风,2级
2017-6-20,28,25,暴雨,东南风,2级
2017-6-21,31,26,中雨,东北风,1级
2017-6-22,32,26,中雨,南风,2级
2017-6-23,34,27,雷阵雨,东风,2级
2017-6-24,33,26,雷阵雨,南风,3级
2017-6-25,33,27,雷阵雨,东风,1级
2017-6-26,34,27,雷阵雨,西风,4级
2017-6-27,34,27,多云,西南风,4级
2017-6-28,35,28,雷阵雨,东北风,1级
2017-6-29,35,27,雷阵雨,东南风,2级
2017-6-30,35,27,雷阵雨,东南风,2级
2017-7-1,34,27,雷阵雨,东南风,1级
2017-7-2,32,27,中雨,西南风,1级
2017-7-3,31,26,大雨,西南风,1级
2017-7-4,30,25,雷阵雨,东风,2级
2017-7-5,33,26,雷阵雨,东北风,1级
2017-7-6,33,26,雷阵雨,东南风,2级
2017-7-7,32,26,中雨,东南风,2级
2017-7-8,31,26,中雨,东南风,2级
2017-7-9,32,26,中雨,东南风,2级
2017-7-10,33,26,雷阵雨,东南风,1级
2017-7-11,33,26,雷阵雨,东南风,1级
2017-7-12,34,26,多云,东风,1级
2017-7-13,34,26,雷阵雨,东南风,2级
2017-7-14,35,27,雷阵雨,南风,1级
2017-7-15,35,26,雷阵雨,东南风,1级
2017-7-16,33,26,中雨,东风,2级
2017-7-17,32,25,中雨,东南风,2级
2017-7-18,29,24,大雨,西南风,1级
2017-7-19,31,25,雷阵雨,东风,1级
2017-7-20,32,25,雷阵雨,北风,1级
2017-7-21,34,26,多云,北风,1级
2017-7-22,34,25,雷阵雨,东南风,1级
2017-7-23,33,25,大雨,东北风,1级
2017-7-24,33,26,雷阵雨,东南风,1级
2017-7-25,34,26,多云,东南风,1级
2017-7-26,35,26,晴,南风,2级
2017-7-27,35,26,多云,东南风,2级
2017-7-28,35,26,多云,东南风,1级
2017-7-29,37,28,多云,东风,1级
2017-7-30,36,27,雷阵雨,南风,1级
2017-7-31,36,26,雷阵雨,南风,2级
2017-8-1,35,28,雷阵雨,西风,2级
2017-8-2,35,28,雷阵雨,东南风,1级
2017-8-3,31,27,中雨,南风,2级
2017-8-4,32,26,雷阵雨,东南风,2级
2017-8-5,33,26,雷阵雨,南风,1级
2017-8-6,35,26,多云,东南风,2级
2017-8-7,37,28,晴,南风,2级
2017-8-8,36,28,多云,南风,2级
2017-8-9,35,27,雷阵雨,南风,2级
2017-8-10,34,27,中雨,东南风,1级
2017-8-11,34,28,雷阵雨,西南风,1级
2017-8-12,35,28,多云,东南风,3级
2017-8-13,35,28,多云,南风,1级
2017-8-14,35,28,晴,南风,1级
2017-8-15,35,28,晴,东南风,2级
2017-8-16,34,28,雷阵雨,西风,1级
2017-8-17,35,28,晴,东南风,2级
2017-8-18,35,28,晴,东南风,2级
2017-8-19,36,28,晴,东风,2级
2017-8-20,36,28,晴,东风,2级
2017-8-21,37,28,晴,东南风,1级
2017-8-22,37,28,多云,东北风,2级
2017-8-23,30,25,大到暴雨,东风,2级
2017-8-24,31,26,雷阵雨,西风,1级
2017-8-25,34,26,雷阵雨,北风,1级
2017-8-26,35,25,雷阵雨,北风,1级
2017-8-27,29,24,暴雨,东风,2级
2017-8-28,29,25,大到暴雨,东风,1级
2017-8-29,34,25,多云,东南风,微风
2017-8-30,35,26,多云,东风,2级
2017-8-31,35,26,雷阵雨,东北风,1级
2017-9-1,35,26,雷阵雨,东北风,1级
2017-9-2,35,26,雷阵雨,东风,1级
2017-9-3,34,25,雷阵雨,东北风,2级
2017-9-4,30,25,中雨,东南风,微风
2017-9-5,33,26,雷阵雨,东风,1级
2017-9-6,33,26,雷阵雨,南风,1级
2017-9-7,33,27,雷阵雨,东南风,微风
2017-9-8,33,26,雷阵雨,南风,2级
2017-9-9,33,26,雷阵雨,东风,1级
2017-9-10,33,26,雷阵雨,东南风,1级
2017-9-11,35,26,雷阵雨,东北风,1级
2017-9-12,35,27,多云,东北风,2级
2017-9-13,36,27,晴,东北风,1级
2017-9-14,35,26,多云,东南风,2级
2017-9-15,34,26,雷阵雨,北风,2级
2017-9-16,35,25,晴,西南风,1级
2017-9-17,35,26,晴,东北风,1级
2017-9-18,35,26,晴,南风,1级
2017-9-19,35,26,晴,南风,1级
2017-9-20,34,26,多云,东南风,2级
2017-9-21,34,26,雷阵雨,东风,1级
2017-9-22,33,26,雷阵雨,东南风,2级
2017-9-23,34,26,雷阵雨,东北风,1级
2017-9-24,33,26,雷阵雨,东南风,2级
2017-9-25,33,27,阵雨,南风,2级
2017-9-26,35,27,晴,东北风,1级
2017-9-27,35,27,晴,东南风,1级
2017-9-28,36,26,晴,东风,2级
2017-9-29,34,26,雷阵雨,西南风,微风
2017-9-30,33,26,雷阵雨,东北风,1级
2017-10-1,33,26,雷阵雨,东风,微风
2017-10-2,34,27,多云,东风,微风
2017-10-3,34,25,多云,东风,1级
2017-10-4,33,26,雷阵雨,北风,1级
2017-10-5,33,26,雷阵雨,西风,1级
2017-10-6,34,26,多云,北风,2级
2017-10-7,34,25,多云,东风,微风
2017-10-8,34,26,晴,东北风,1级
2017-10-9,33,26,雷阵雨,东南风,2级
2017-10-10,34,26,多云,东北风,1级
2017-10-11,33,24,多云,东风,1级
2017-10-12,32,24,多云,北风,3级
2017-10-13,29,22,晴,北风,3级
2017-10-14,27,21,多云,东北风,2级
2017-10-15,23,19,中到大雨,北风,2级
2017-10-16,24,20,阵雨,南风,1级
2017-10-17,27,20,多云,东北风,1级
2017-10-18,29,21,多云,东北风,2级
2017-10-19,28,21,多云,东北风,2级
2017-10-20,27,20,多云,东北风,2级
2017-10-21,28,19,多云,北风,3级
2017-10-22,27,17,晴,东北风,2级
2017-10-23,26,17,晴,东风,1级
2017-10-24,28,19,晴,东北风,1级
2017-10-25,29,19,晴,东北风,1级
2017-10-26,20,0,晴,无持续风向,小于3级
2017-10-27,19,0,晴,无持续风向,小于3级
2017-10-28,18,0,晴,北风,3～4级
2017-10-29,17,0,晴,北风,3～4级
2017-10-30,27,16,晴,北风,2级
2017-10-31,27,17,晴,东北风,1级
2017-11-1,27,16,晴,东北风,1级
2017-11-2,28,18,晴,西北风,1级
2017-11-3,29,17,晴,北风,2级
2017-11-4,27,19,多云,东北风,2级
2017-11-5,27,19,多云,东北风,2级
2017-11-6,25,18,小雨,东北风,1级
2017-11-7,22,17,中雨,北风,1级
2017-11-8,24,18,小雨,北风,1级
2017-11-9,27,19,多云,西风,微风
2017-11-10,28,19,多云,东北风,1级
2017-11-11,29,21,多云,东风,1级
2017-11-12,27,20,多云,东南风,1级
2017-11-13,24,19,小雨,东北风,1级
2017-11-14,25,20,小雨,北风,微风
2017-11-15,25,20,小雨,北风,2级
2017-11-16,25,20,多云,南风,微风
2017-11-17,26,16,多云,东北风,1级
2017-11-18,23,13,小雨,北风,4级
2017-11-19,16,12,小雨,北风,3级
2017-11-20,15,11,小雨,东北风,2级
2017-11-21,16,13,阴,东北风,2级
2017-11-22,19,13,多云,北风,3级
2017-11-23,19,14,多云,北风,2级
2017-11-24,15,11,小雨,东北风,2级
2017-11-25,14,12,阴,东风,1级
2017-11-26,18,14,多云,北风,2级
2017-11-27,22,16,多云,东北风,1级
2017-11-28,24,18,多云,南风,1级
2017-11-29,26,17,多云,南风,1级
2017-11-30,24,14,多云,东南风,1级
2017-12-1,22,14,多云,东北风,2级
2017-12-2,22,15,晴,东北风,2级
2017-12-3,24,15,多云,东风,微风
2017-12-4,22,14,多云,东北风,1级
2017-12-5,21,14,多云,东北风,1级
2017-12-6,22,14,多云,东北风,1级
2017-12-7,23,13,多云,南风,1级
2017-12-8,20,9,多云,北风,4级
2017-12-9,19,9,晴,东南风,微风
2017-12-10,21,11,多云,东南风,1级
2017-12-11,21,14,多云,西北风,1级
2017-12-12,21,15,多云,北风,1级
2017-12-13,19,15,小雨,东北风,1级
2017-12-14,18,15,阴,北风,2级
2017-12-15,18,10,阴,东北风,2级
2017-12-16,16,7,阴,东北风,2级
2017-12-17,13,6,多云,东北风,2级
2017-12-18,15,7,晴,北风,2级
2017-12-19,16,8,晴,东北风,2级
2017-12-20,18,7,晴,北风,2级
2017-12-21,20,11,晴,东北风,微风
2017-12-22,20,12,晴,东北风,1级
2017-12-23,22,14,多云,东北风,微风
2017-12-24,22,11,多云,东南风,1级
2017-12-25,22,11,晴,西北风,微风
2017-12-26,22,11,多云,北风,微风
2017-12-27,23,14,多云,北风,1级
2017-12-28,21,15,阴,东风,1级
2017-12-29,24,15,多云,东北风,1级
2017-12-30,24,13,多云,北风,1级
2017-12-31,20,11,多云,北风,2级
